name,year,date,pitch,whip,inning,fati
윤지웅,2014,06-08,18,1.0,1.0,72.0
윤지웅,2014,06-13,12,0.0,1.0,12.0
윤지웅,2014,06-14,5,0.0,0.1,20.0
윤지웅,2014,06-15,19,2.0,1.0,76.0
윤지웅,2014,06-18,4,1.0,0.0,8.0
윤지웅,2014,06-22,27,0.0,2.0,40.5
윤지웅,2014,06-25,9,0.0,1.1,18.0
윤지웅,2014,06-27,11,1.0,0.2,33.0
윤지웅,2014,06-29,24,2.0,1.2,72.0
윤지웅,2014,07-02,1,0.0,0.1,2.0
윤지웅,2014,07-05,17,0.0,1.0,34.0
윤지웅,2014,07-07,11,2.0,0.1,33.0
윤지웅,2014,07-08,5,3.0,0.0,20.0
윤지웅,2014,07-10,15,2.0,1.0,45.0
윤지웅,2014,07-22,21,1.0,1.1,21.0
윤지웅,2014,07-23,13,2.0,0.2,52.0
윤지웅,2014,07-26,3,0.0,0.1,6.0
윤지웅,2014,07-28,12,1.0,0.1,36.0
윤지웅,2014,07-29,17,3.0,0.2,68.0
윤지웅,2014,07-30,9,2.0,0.0,36.0
윤지웅,2014,8-2,3,0.0,0.1,6.0
윤지웅,2014,8-4,1,0.0,0.1,3.0
윤지웅,2014,8-7,6,2.0,0.2,12.0
윤지웅,2014,8-12,17,1.0,1.0,17.0
윤지웅,2014,08-16,26,1.0,1.2,39.0
윤지웅,2014,8-20,2,0.0,0.1,3.0
윤지웅,2014,8-24,2,0.0,0.1,3.0
윤지웅,2014,8-28,5,1.0,0.2,7.5
윤지웅,2014,08-29,26,1.0,2.0,104.0
윤지웅,2014,08-31,7,1.0,0.2,21.0
윤지웅,2014,9-7,7,0.0,0.1,7.0
윤지웅,2014,09-09,6,0.0,0.1,18.0
윤지웅,2014,09-10,11,0.0,0.2,44.0
윤지웅,2014,09-14,13,0.0,1.0,19.5
윤지웅,2014,10-03,6,0.0,0.1,6.0
윤지웅,2014,10-07,9,2.0,0.1,13.5
윤지웅,2014,10-09,8,2.0,0.0,24.0
윤지웅,2014,10-11,4,1.0,0.0,12.0
윤지웅,2014,10-12,19,1.0,1.0,76.0
윤지웅,2014,10-17,4,1.0,0.0,4.0
윤지웅,2014,10-19,19,2.0,0.2,57.0
윤지웅,2014,10-24,7,0.0,0.1,7.0
윤지웅,2014,10-25,6,1.0,0.1,24.0
윤지웅,2015,03-28,6,0.0,0.1,6.0
윤지웅,2015,04-05,24,1.0,1.2,24.0
윤지웅,2015,04-07,17,2.0,0.2,51.0
윤지웅,2015,04-09,4,1.0,0.0,12.0
윤지웅,2015,04-10,27,0.0,1.2,108.0
윤지웅,2015,04-16,12,1.0,0.1,12.0
윤지웅,2015,04-17,6,0.0,0.1,24.0
윤지웅,2015,04-18,20,0.0,1.0,80.0
윤지웅,2015,04-22,12,0.0,1.0,18.0
윤지웅,2015,04-23,11,1.0,0.2,44.0
윤지웅,2015,04-25,17,3.0,1.0,51.0
윤지웅,2015,04-28,10,1.0,0.2,20.0
윤지웅,2015,04-30,6,1.0,0.1,18.0
윤지웅,2015,05-02,5,0.0,1.0,15.0
윤지웅,2015,05-03,11,0.0,1.0,44.0
윤지웅,2015,05-05,1,1.0,0.0,3.0
윤지웅,2015,05-06,5,1.0,0.0,20.0
윤지웅,2015,05-08,16,2.0,1.1,48.0
윤지웅,2015,05-14,11,1.0,0.2,11.0
윤지웅,2015,05-15,11,1.0,1.0,44.0
윤지웅,2015,05-19,2,0.0,0.2,3.0
윤지웅,2015,05-20,36,3.0,1.2,144.0
윤지웅,2015,05-22,16,1.0,0.2,48.0
윤지웅,2015,05-24,37,3.0,1.2,111.0
윤지웅,2015,05-26,6,1.0,0.1,18.0
윤지웅,2015,05-28,18,2.0,0.2,54.0
윤지웅,2015,05-30,11,0.0,1.0,33.0
윤지웅,2015,06-03,11,1.0,1.0,16.5
윤지웅,2015,06-06,5,0.0,0.0,10.0
윤지웅,2015,06-09,25,0.0,2.0,50.0
윤지웅,2015,06-13,22,3.0,1.0,33.0
윤지웅,2015,06-14,30,2.0,2.0,120.0
윤지웅,2015,06-19,5,0.0,0.1,5.0
윤지웅,2015,06-21,1,0.0,0.1,3.0
